Paper_ID;Source;Author;Title;Journal;Year_publication;doi;Geography;Country;Other_Geography;Latitude;Longitude;Study_type;Corresponding_emailed;Answer;Answer_positive;Notes;Compiler
CC_0001;WOS;Mammola S. et al.;Extending Janzen’s Hypothesis To Temperate Regions: A Test Using Subterranean Ecosystems;Functional ecology;2019;https://doi.org/10.1111/1365-2435.13382;Palearctic;Italy;Western Italian Alps;44,88;7,27;Multiple;yes;yes;yes;"Excluded estimates for Troglohyphantes vignai (species status changed; see Isaia et al., 2022; ID: Alert_00002)";Stefano Mammola
CC_0002;WOS;Mammola S. et al.;Climate Change May Drive Cave Spiders To Extinction;Ecography;2018;https://doi.org/10.1111/ecog.02902;Palearctic;Italy;Western Italian Alps;44,88;7,27;Modelling;no;Not applicable;Not applicable;-;Stefano Mammola
CC_0003;WOS;Colson-Proch C. et al.;First Cellular Approach Of The Effects Of Global Warming On Groundwater Organisms: A Study Of The Hsp70 Gene Expression;Cell stress and chaperones;2010;https://doi.org/10.1007/s12192-009-0139-4;Palearctic;France;Chalamont (Ain, France);45,99;5,17;Laboratory;yes;yes;no;They lost the data. Cannot provide statistics from the p-value. Calculated r from mean and SD;Stefano Mammola
CC_0004;WOS;Mammola S. et al.;Rapid poleward distributional shifts in the European cave-dwelling Meta spiders under the influence of competition dynamics;Journal of Biogeography;2017;https://doi.org/10.1111/ele.1394210.1111/jbi.13087;Palearctic;Europe;-;50,20;10,00;Modelling;yes;yes;yes;Recalculated for the meta analysis;Stefano Mammola
CC_0025;WOS;Colado R. et al.;Climatic Stability, Not Average Habitat Temperature, Determines Thermal Tolerance Of Subterranean Beetles;Ecology;2022;https://doi.org/10.1002/ecy.3629;Palearctic;Spain;Pyrenees, Basque Country, coastal mountain systems in Catalonia;43,18;-2,64;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0027;WOS;Pallares S. et al.;Beyond Survival Experiments: Using Biomarkers Of Oxidative Stress And Neurotoxicity To Assess Vulnerability Of Subterranean Fauna To Climate Change;Conservation physiology;2020;https://doi.org/10.1093/conphys/coaa067;Palearctic;Spain;Forat de las Pedreres;41,74;2,40;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0029;WOS;Pallares S. et al.;Loss Of Heat Acclimation Capacity Could Leave Subterranean Specialists Highly Sensitive To Climate Change;Animal conservation;2020;https://doi.org/10.1111/acv.12654;Palearctic;Spain;"Pyrenees(Forat Negre - Serradell - Lleida and Orobe-Navarra);  Cantabrian (C. Arrikrutz)";42,91;-2,21;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0030;WOS;Colado R. et al. ;Thermal Tolerance And Vulnerability To Climate Change In Subterranean Species: A Case Study Using An Iberian Endemic Pseudoscorpion;Insect conservation and diversity;2021;https://doi.org/10.1111/icad.12541;Palearctic;Spain;Mendikute cave (Ernio Massif );43,14;-2,12;Laboratory;no;Not applicable;Not applicable;-;Raquel Colado
CC_0033;WOS;Sanchez-Fernandez D. et al.;Thermal Niche Estimators And The Capability Of Poor Dispersal Species To Cope With Climate Change;Scientific reports;2016;https://doi.org/10.1038/srep23381;Palearctic;Spain;North-eastern Iberian Peninsula;42,12;0,97;Modelling;no;Not applicable;Not applicable;-;Raquel Colado
CC_0036;WOS;Jurekova N. et al.;Mesofauna At The Soil-Scree Interface In A Deep Karst Environment;Diversity;2021;https://doi.org/10.3390/d13060242;Palearctic;Slovakia;Slovak Karst National Park;48,61;20,83;Field;no;Not applicable;Not applicable;-;Raquel Colado
